backend_kind,hardware_config,model_config,thermal_config,thermal_case,system_name,htc,tim_cond,infill_cond,underfill_cond,hbm_stack_height,dummy_si,no_throttle,runtime_seconds,gpu_peak_temperature_c,hbm_peak_temperature_c,gpu_time_frac_idle,nominal_frequency_ghz,hbm_bandwidth_gbps,iterations,system_name2,runtime_seconds2,normalization_constant,normalized_runtime,normalized_performance,model_name
rapid,dedeepyo_integration/Rapid-LLM/configs/hardware-config/a100_80GB_legacy_thermal_port.yaml,dedeepyo_integration/Rapid-LLM/configs/model-config/Llama2-7B_train_2048_thermal.yaml,dedeepyo_integration/configs/thermal/2.5D_baseline.yaml,2.5D_baseline,2p5D_1GPU,7,5,1.6,1.6,8,FALSE,FALSE,0.18761823,88.5,88,0.03971655,1.41,1700,3,2p5D_1GPU,0.18761823,0.18429709,1.018020578,0.982298415,Llama2-7B
rapid,dedeepyo_integration/Rapid-LLM/configs/hardware-config/a100_80GB_legacy_thermal_port.yaml,dedeepyo_integration/Rapid-LLM/configs/model-config/Llama2-7B_train_2048_thermal.yaml,dedeepyo_integration/configs/thermal/2.5D_baseline_high_htc10.yaml,2.5D_baseline_high+htc10,2p5D_1GPU,10,5,1.6,1.6,8,FALSE,FALSE,0.18429709,62.9,62.3,0.03576654,1.41,1990,2,2p5D_1GPU,0.18429709,0.18429709,1,1,Llama2-7B
rapid,dedeepyo_integration/Rapid-LLM/configs/hardware-config/a100_80GB_legacy_thermal_port.yaml,dedeepyo_integration/Rapid-LLM/configs/model-config/Llama2-7B_train_2048_thermal.yaml,dedeepyo_integration/configs/thermal/2.5D_baseline_high_htc10_high_tim50_high_infill19_high_underfill19.yaml,2.5D_baseline_high_htc10_high_tim50_high_infill19_high_underfill19,2p5D_1GPU,10,50,19,19,8,FALSE,FALSE,0.18429709,59.6,59.7,0.03576654,1.41,1990,2,2p5D_1GPU,0.18429709,0.18429709,1,1,Llama2-7B
rapid,dedeepyo_integration/Rapid-LLM/configs/hardware-config/a100_80GB_legacy_thermal_port.yaml,dedeepyo_integration/Rapid-LLM/configs/model-config/Llama2-7B_train_2048_thermal.yaml,dedeepyo_integration/configs/thermal/2.5D_baseline_high_infill19_high_underfill19.yaml,2.5D_baseline_high_infill19_high_underfill19,2p5D_1GPU,7,5,19,19,8,FALSE,FALSE,0.18735869,88.2,87.5,0.039443,1.41,1720,3,2p5D_1GPU,0.18735869,0.18429709,1.016612308,0.983659151,Llama2-7B
rapid,dedeepyo_integration/Rapid-LLM/configs/hardware-config/a100_80GB_legacy_thermal_port.yaml,dedeepyo_integration/Rapid-LLM/configs/model-config/Llama2-7B_train_2048_thermal.yaml,dedeepyo_integration/configs/thermal/2.5D_baseline_high_tim50.yaml,2.5D_baseline_high_tim50,2p5D_1GPU,7,50,1.6,1.6,8,FALSE,FALSE,0.18429709,82.9,81.8,0.03576654,1.41,1990,2,2p5D_1GPU,0.18429709,0.18429709,1,1,Llama2-7B
rapid,dedeepyo_integration/Rapid-LLM/configs/hardware-config/a100_80GB_legacy_thermal_port.yaml,dedeepyo_integration/Rapid-LLM/configs/model-config/Llama2-7B_train_2048_thermal.yaml,dedeepyo_integration/configs/thermal/3D_baseline.yaml,3D_baseline,3D_1GPU,7,5,1.6,1.6,8,TRUE,FALSE,0.20086945,93.5,93.3,0.0257213,1.170545611,6060,26,3D_1GPU,0.20086945,0.17194877,1.168193585,0.856022506,Llama2-7B
rapid,dedeepyo_integration/Rapid-LLM/configs/hardware-config/a100_80GB_legacy_thermal_port.yaml,dedeepyo_integration/Rapid-LLM/configs/model-config/Llama2-7B_train_2048_thermal.yaml,dedeepyo_integration/configs/thermal/3D_baseline_high_htc10.yaml,3D_baseline_high_htc10,3D_1GPU,10,5,1.6,1.6,8,TRUE,FALSE,0.18016507,93.5,93.3,0.02870841,1.341654384,6060,9,3D_1GPU,0.18016507,0.17194877,1.047783418,0.954395711,Llama2-7B
rapid,dedeepyo_integration/Rapid-LLM/configs/hardware-config/a100_80GB_legacy_thermal_port.yaml,dedeepyo_integration/Rapid-LLM/configs/model-config/Llama2-7B_train_2048_thermal.yaml,dedeepyo_integration/configs/thermal/3D_baseline_high_htc10_high_tim50_high_infill19_high_underfill19.yaml,3D_baseline_high_htc10_high_tim50_high_infill19_high_underfill19,3D_1GPU,10,50,19,19,8,TRUE,FALSE,0.17257735,88.6,88.2,0.02998178,1.41,6790,2,3D_1GPU,0.17257735,0.17194877,1.003655624,0.996357691,Llama2-7B
rapid,dedeepyo_integration/Rapid-LLM/configs/hardware-config/a100_80GB_legacy_thermal_port.yaml,dedeepyo_integration/Rapid-LLM/configs/model-config/Llama2-7B_train_2048_thermal.yaml,dedeepyo_integration/configs/thermal/3D_baseline_high_infill19_high_underfill19.yaml,3D_baseline_high_infill19_high_underfill19,3D_1GPU,7,5,19,19,8,TRUE,FALSE,0.19950221,93.6,93.4,0.02589945,1.181965838,6040,25,3D_1GPU,0.19950221,0.17194877,1.160242147,0.861889049,Llama2-7B
rapid,dedeepyo_integration/Rapid-LLM/configs/hardware-config/a100_80GB_legacy_thermal_port.yaml,dedeepyo_integration/Rapid-LLM/configs/model-config/Llama2-7B_train_2048_thermal.yaml,dedeepyo_integration/configs/thermal/3D_baseline_high_tim50.yaml,3D_baseline_high_tim50,3D_1GPU,7,50,1.6,1.6,8,TRUE,FALSE,0.18805086,93.8,93.6,0.02749318,1.269634976,6020,17,3D_1GPU,0.18805086,0.17194877,1.093644694,0.91437375,Llama2-7B
