system_name,HBM_power(W),HTC(kW/(m2K)),TIM_conductivity(W/(mK)),infill_conductivity(W/(mK)),underfill_conductivity(W/(mK)),HBM_stack_height,dummy_Si,calibrate_GPU_slope,calibrate_GPU_intercept,calibrate_HBM_slope,calibrate_HBM_intercept
3D_1GPU_top,5.0,7.0,5.0,1.6,1.6,8,True,0.162,49.85,0.163,50.42
3D_1GPU_top,5.6,7.0,5.0,1.6,1.6,8,True,0.161,50.44,0.163,50.98
3D_1GPU_top,6.8024,7.0,5.0,1.6,1.6,8,True,0.161,51.61,0.162,52.29
3D_1GPU_top,5.0,7.0,5.0,1.6,19.0,8,True,0.162,49.84,0.162,50.41
3D_1GPU_top,5.6,7.0,5.0,1.6,19.0,8,True,0.162,50.43,0.162,51.04
3D_1GPU_top,6.8024,7.0,5.0,1.6,19.0,8,True,0.162,51.60,0.162,52.29
3D_1GPU_top,5.0,7.0,5.0,19.0,1.6,8,True,0.162,49.86,0.163,50.06
3D_1GPU_top,5.6,7.0,5.0,19.0,1.6,8,True,0.162,50.44,0.163,50.67
3D_1GPU_top,6.8024,7.0,5.0,19.0,1.6,8,True,0.162,51.61,0.162,51.92
3D_1GPU_top,5.0,7.0,5.0,19.0,19.0,8,True,0.161,49.85,0.164,50.20
3D_1GPU_top,5.6,7.0,5.0,19.0,19.0,8,True,0.161,50.43,0.163,50.84
3D_1GPU_top,6.8024,7.0,5.0,19.0,19.0,8,True,0.161,51.60,0.163,52.04
3D_1GPU_top,5.0,7.0,50.0,1.6,1.6,8,True,0.140,49.20,0.140,49.87
3D_1GPU_top,5.6,7.0,50.0,1.6,1.6,8,True,0.140,49.71,0.140,50.40
3D_1GPU_top,6.8024,7.0,50.0,1.6,1.6,8,True,0.140,50.72,0.139,51.59
3D_1GPU_top,5.0,7.0,50.0,1.6,19.0,8,True,0.140,49.21,0.142,49.46
3D_1GPU_top,5.6,7.0,50.0,1.6,19.0,8,True,0.140,49.72,0.142,50.02
3D_1GPU_top,6.8024,7.0,50.0,1.6,19.0,8,True,0.140,50.73,0.142,51.12
3D_1GPU_top,5.0,7.0,50.0,19.0,1.6,8,True,0.140,49.21,0.141,49.44
3D_1GPU_top,5.6,7.0,50.0,19.0,1.6,8,True,0.140,49.72,0.141,49.98
3D_1GPU_top,6.8024,7.0,50.0,19.0,1.6,8,True,0.140,50.73,0.141,51.06
3D_1GPU_top,5.0,7.0,50.0,19.0,19.0,8,True,0.140,49.20,0.141,49.54
3D_1GPU_top,5.6,7.0,50.0,19.0,19.0,8,True,0.140,49.70,0.141,50.06
3D_1GPU_top,6.8024,7.0,50.0,19.0,19.0,8,True,0.140,50.72,0.141,51.10
3D_1GPU,5.0,7.0,5.0,1.6,1.6,8,True,0.172,50.01,0.171,50.02
3D_1GPU,5.6,7.0,5.0,1.6,1.6,8,True,0.172,50.62,0.171,50.66
3D_1GPU,6.8024,7.0,5.0,1.6,1.6,8,True,0.172,51.82,0.171,51.93
3D_1GPU,5.0,7.0,5.0,1.6,19.0,8,True,0.170,50.00,0.170,50.03
3D_1GPU,5.6,7.0,5.0,1.6,19.0,8,True,0.170,50.62,0.169,50.67
3D_1GPU,6.8024,7.0,5.0,1.6,19.0,8,True,0.170,51.81,0.169,51.86
3D_1GPU,5.0,7.0,5.0,19.0,1.6,8,True,0.172,49.99,0.171,50.14
3D_1GPU,5.6,7.0,5.0,19.0,1.6,8,True,0.172,50.59,0.171,50.74
3D_1GPU,6.8024,7.0,5.0,19.0,1.6,8,True,0.172,51.80,0.171,51.92
3D_1GPU,5.0,7.0,5.0,19.0,19.0,8,True,0.169,49.98,0.166,50.75
3D_1GPU,5.6,7.0,5.0,19.0,19.0,8,True,0.169,50.57,0.168,50.68
3D_1GPU,6.8024,7.0,5.0,19.0,19.0,8,True,0.169,51.77,0.168,51.88
3D_1GPU,5.0,7.0,50.0,1.6,1.6,8,True,0.150,49.35,0.149,49.43
3D_1GPU,5.6,7.0,50.0,1.6,1.6,8,True,0.150,49.87,0.149,49.95
3D_1GPU,6.8024,7.0,50.0,1.6,1.6,8,True,0.150,50.93,0.149,50.99
