system_name,HBM_power(W),HTC(kW/(m2K)),TIM_conductivity(W/(mK)),infill_conductivity(W/(mK)),underfill_conductivity(W/(mK)),HBM_stack_height,dummy_Si,calibrate_GPU_slope,calibrate_GPU_intercept,calibrate_HBM_slope,calibrate_HBM_intercept
3D_1GPU_top,5.0,7.0,5.0,1.6,1.6,8,True,0.001,44.91,0.000,45.00
3D_1GPU_top,5.6,7.0,5.0,1.6,1.6,8,True,0.001,44.91,0.000,45.00
3D_1GPU_top,6.8024,7.0,5.0,1.6,1.6,8,True,0.001,44.91,0.000,45.00
3D_1GPU_top,9.0,7.0,5.0,1.6,1.6,16,True,0.001,44.88,0.000,45.00
3D_1GPU_top,9.4,7.0,5.0,1.6,1.6,16,True,0.001,44.88,0.000,45.00
3D_1GPU_top,10.1218,7.0,5.0,1.6,1.6,16,True,0.001,44.88,0.000,45.00
3D_1GPU,5.0,7.0,5.0,1.6,1.6,8,True,0.074,34.84,0.078,34.33
3D_1GPU,5.6,7.0,5.0,1.6,1.6,8,True,0.075,34.75,0.079,34.24
3D_1GPU,6.8024,7.0,5.0,1.6,1.6,8,True,0.077,34.56,0.080,34.07
3D_1GPU,9.0,7.0,5.0,1.6,1.6,16,True,0.124,29.68,0.126,29.50
3D_1GPU,9.4,7.0,5.0,1.6,1.6,16,True,0.125,29.58,0.127,29.41
3D_1GPU,10.1218,7.0,5.0,1.6,1.6,16,True,0.127,29.41,0.128,29.23
