system_name,HBM_power(W),HTC(kW/(m2K)),TIM_conductivity(W/(mK)),infill_conductivity(W/(mK)),underfill_conductivity(W/(mK)),HBM_stack_height,dummy_Si,calibrate_GPU_slope,calibrate_GPU_intercept,calibrate_HBM_slope,calibrate_HBM_intercept
3D_1GPU_top,5.0,7.0,5.0,1.6,1.6,8,True,0.154,33.26,0.163,32.48
3D_1GPU_top,5.6,7.0,5.0,1.6,1.6,8,True,0.156,33.18,0.165,32.40
3D_1GPU_top,6.8024,7.0,5.0,1.6,1.6,8,True,0.159,33.02,0.168,32.37
3D_1GPU_top,9.0,7.0,5.0,1.6,1.6,16,True,0.165,32.78,0.172,32.15
3D_1GPU_top,9.4,7.0,5.0,1.6,1.6,16,True,0.166,32.73,0.173,32.10
3D_1GPU_top,10.1218,7.0,5.0,1.6,1.6,16,True,0.168,32.63,0.175,32.00
3D_1GPU,5.0,7.0,5.0,1.6,1.6,8,True,0.143,40.22,0.141,41.64
3D_1GPU,5.6,7.0,5.0,1.6,1.6,8,True,0.143,40.61,0.141,42.34
3D_1GPU,6.8024,7.0,5.0,1.6,1.6,8,True,0.145,40.85,0.145,42.51
3D_1GPU,9.0,7.0,5.0,1.6,1.6,16,True,0.187,31.13,0.185,31.21
3D_1GPU,9.4,7.0,5.0,1.6,1.6,16,True,0.188,31.07,0.187,31.15
3D_1GPU,10.1218,7.0,5.0,1.6,1.6,16,True,0.190,30.96,0.189,31.05
