model,prefill_tokens,decode_tokens,thermal_case,normalized_performance
Llama2-7B,512,3584,ideal_2p5D,0.496528573
Llama2-7B,512,3584,ideal_3D,1
Llama2-7B,512,3584,2.5D_baseline,0.496528573
Llama2-7B,512,3584,3D_baseline,1
Llama2-7B,1024,3072,ideal_2p5D,0.487592948
Llama2-7B,1024,3072,ideal_3D,1
Llama2-7B,1024,3072,2.5D_baseline,0.487592948
Llama2-7B,1024,3072,3D_baseline,1
Llama2-7B,1536,2560,ideal_2p5D,0.481798514
Llama2-7B,1536,2560,ideal_3D,1
Llama2-7B,1536,2560,2.5D_baseline,0.481798514
Llama2-7B,1536,2560,3D_baseline,1
Llama2-7B,2048,2048,ideal_2p5D,0.48020673
Llama2-7B,2048,2048,ideal_3D,1
Llama2-7B,2048,2048,2.5D_baseline,0.48020673
Llama2-7B,2048,2048,3D_baseline,1
Llama2-7B,2560,1536,ideal_2p5D,0.485256149
Llama2-7B,2560,1536,ideal_3D,1
Llama2-7B,2560,1536,2.5D_baseline,0.485256149
Llama2-7B,2560,1536,3D_baseline,1
Llama2-7B,3072,1024,ideal_2p5D,0.503871681
Llama2-7B,3072,1024,ideal_3D,1
Llama2-7B,3072,1024,2.5D_baseline,0.503871681
Llama2-7B,3072,1024,3D_baseline,1
Llama2-7B,3328,768,ideal_2p5D,0.52464628
Llama2-7B,3328,768,ideal_3D,1
Llama2-7B,3328,768,2.5D_baseline,0.52464628
Llama2-7B,3328,768,3D_baseline,1
Llama2-7B,3584,512,ideal_2p5D,0.563525836
Llama2-7B,3584,512,ideal_3D,1
Llama2-7B,3584,512,2.5D_baseline,0.563525836
Llama2-7B,3584,512,3D_baseline,0.931658291
Llama2-7B,3840,256,ideal_2p5D,0.651465798
Llama2-7B,3840,256,ideal_3D,1
Llama2-7B,3840,256,2.5D_baseline,0.651465798
Llama2-7B,3840,256,3D_baseline,0.919842313
Llama3.1-8B,512,3584,ideal_2p5D,0.534421889
Llama3.1-8B,512,3584,ideal_3D,1
Llama3.1-8B,512,3584,2.5D_baseline,0.534421889
Llama3.1-8B,512,3584,3D_baseline,0.95079822
Llama3.1-8B,1024,3072,ideal_2p5D,0.534697218
Llama3.1-8B,1024,3072,ideal_3D,1
Llama3.1-8B,1024,3072,2.5D_baseline,0.534697218
Llama3.1-8B,1024,3072,3D_baseline,0.95053826
Llama3.1-8B,1536,2560,ideal_2p5D,0.539148224
Llama3.1-8B,1536,2560,ideal_3D,1
Llama3.1-8B,1536,2560,2.5D_baseline,0.539148224
Llama3.1-8B,1536,2560,3D_baseline,0.94893617
Llama3.1-8B,2048,2048,ideal_2p5D,0.549565217
Llama3.1-8B,2048,2048,ideal_3D,1
Llama3.1-8B,2048,2048,2.5D_baseline,0.549565217
Llama3.1-8B,2048,2048,3D_baseline,0.943635685
Llama3.1-8B,2560,1536,ideal_2p5D,0.570142933
Llama3.1-8B,2560,1536,ideal_3D,1
Llama3.1-8B,2560,1536,2.5D_baseline,0.570142933
Llama3.1-8B,2560,1536,3D_baseline,0.936521739
Llama3.1-8B,3072,1024,ideal_2p5D,0.610576923
Llama3.1-8B,3072,1024,ideal_3D,1
Llama3.1-8B,3072,1024,2.5D_baseline,0.610576923
Llama3.1-8B,3072,1024,3D_baseline,0.927490871
Llama3.1-8B,3328,768,ideal_2p5D,0.645148193
Llama3.1-8B,3328,768,ideal_3D,1
Llama3.1-8B,3328,768,2.5D_baseline,0.645148193
Llama3.1-8B,3328,768,3D_baseline,0.923300407
Llama3.1-8B,3584,512,ideal_2p5D,0.698801199
Llama3.1-8B,3584,512,ideal_3D,1
Llama3.1-8B,3584,512,2.5D_baseline,0.698801199
Llama3.1-8B,3584,512,3D_baseline,0.907263294
Llama3.1-8B,3840,256,ideal_2p5D,0.790196078
Llama3.1-8B,3840,256,ideal_3D,1
Llama3.1-8B,3840,256,2.5D_baseline,0.790196078
Llama3.1-8B,3840,256,3D_baseline,0.879912664
